Threads,Execution Time (min),CPU Usage (%)
1,1.524841547012329,3.5
2,1.320872163772583,2.5
3,1.360435994466146,56.7
4,1.3527881066004435,2.5
5,1.3701195041338603,1.5
6,1.3570697069168092,4.0
7,1.3744869192441305,53.0
8,1.3635428945223491,2.0
